Block,Trial,Driving Power,Response Time (ms),Correct
1,1,12.8,1473.2861482491282,1
1,2,6.4,1546.6906147472328,0
1,3,3.2,1767.336637261227,0
1,4,6.4,1584.6013954435266,1
1,5,6.4,1553.9477459288107,1
1,6,6.4,1641.2307756936743,0
1,7,25.6,1233.7657931581473,1
1,8,25.6,1198.8114553637522,1
1,9,12.8,1296.179867786376,0
1,10,6.4,1494.720174394774,1
1,11,3.2,1847.062080845441,1
1,12,25.6,1123.1774208986765,1
1,13,25.6,1184.94549890899,1
1,14,25.6,1208.2791872082473,0
1,15,25.6,1201.0184441243782,1
1,16,25.6,1196.3002223399963,0
1,17,3.2,1858.594696503349,1
1,18,12.8,1399.3925241692925,0
1,19,25.6,1145.2961546711572,1
1,20,25.6,1231.5925286230872,1
1,21,6.4,1636.0070134922803,0
1,22,25.6,1095.9625994322814,1
1,23,25.6,1135.7390313317617,1
1,24,25.6,1213.504993194104,1
1,25,3.2,1697.3875599834428,1
1,26,12.8,1449.8609200965639,1
1,27,12.8,1350.256222229233,0
1,28,12.8,1344.7749623004975,0
1,29,3.2,1792.7948379960837,1
1,30,3.2,1754.4103021658757,0
1,31,6.4,1606.3135273786377,1
1,32,6.4,1576.6566528179767,1
1,33,25.6,1147.5856280158687,1
1,34,3.2,1727.414537554465,0
1,35,25.6,1208.4188810816017,1
1,36,6.4,1590.8990672303785,0
1,37,3.2,1843.1222560441906,1
1,38,25.6,1208.5372910459434,0
1,39,12.8,1391.4604686479172,1
1,40,12.8,1476.766610156814,0
1,41,12.8,1476.3180358217917,0
1,42,25.6,1161.1222568564979,1
1,43,3.2,1818.7337830125625,0
1,44,12.8,1552.3012187467546,1
1,45,25.6,1220.5160145991485,1
1,46,3.2,1816.2312801001524,0
1,47,25.6,1287.4867325226085,1
1,48,3.2,1772.0012292977572,1
1,49,3.2,1826.7644131055217,1
1,50,12.8,1451.053917881437,0
1,51,3.2,1811.9021597204248,1
1,52,25.6,1172.6332591563546,1
1,53,3.2,1744.8900166320648,0
1,54,6.4,1598.9727806479905,1
1,55,6.4,1633.4818238635137,1
1,56,12.8,1349.4030293048058,0
1,57,3.2,1839.4581045206064,1
1,58,25.6,1166.7647643771634,1
1,59,12.8,1366.9487297936575,1
1,60,12.8,1511.323814978895,1
1,61,6.4,1580.256835537839,0
1,62,6.4,1588.396323684515,1
1,63,12.8,1444.8302083719068,1
1,64,3.2,1844.1795951887073,1
1,65,12.8,1339.8061785639306,0
1,66,6.4,1551.5488299275762,1
1,67,6.4,1536.4878055866238,0
1,68,6.4,1539.5538294567323,1
1,69,25.6,1282.1227820915065,1
1,70,12.8,1417.138227837173,0
1,71,6.4,1539.6060651873588,1
1,72,12.8,1448.3348014108233,1
1,73,3.2,1710.1600957763703,0
1,74,12.8,1407.4964786250446,1
1,75,3.2,1835.1192239162217,1
1,76,25.6,1166.3942283883812,0
1,77,6.4,1572.6449856120296,1
1,78,6.4,1584.348616266622,1
1,79,12.8,1322.015136600673,1
1,80,6.4,1600.7931943075293,1
1,81,3.2,1838.9736610917046,1
1,82,25.6,1161.449462264847,1
1,83,3.2,1831.4289647690225,1
1,84,12.8,1314.6776747492713,1
1,85,25.6,1272.107164206058,1
1,86,25.6,1092.8616019117999,1
1,87,12.8,1408.4484112737441,1
1,88,6.4,1593.3112483158184,1
1,89,3.2,1833.2106622707447,1
1,90,12.8,1430.2568996123925,1
1,91,3.2,1821.845163924482,1
1,92,25.6,1176.5063336990504,1
1,93,25.6,1112.1235287599807,0
1,94,12.8,1350.925872430839,0
1,95,12.8,1357.6811600153733,1
1,96,6.4,1602.8280273419264,1
1,97,6.4,1546.641385744509,1
1,98,12.8,1439.993342276541,1
1,99,3.2,1690.0475005658593,1
1,100,25.6,1229.981377333084,1
1,101,3.2,1798.942513608559,0
1,102,12.8,1420.3266585299634,0
1,103,12.8,1477.0293133607995,0
1,104,6.4,1641.538303358093,0
1,105,25.6,1186.71243550685,1
1,106,25.6,1179.2943721626589,0
1,107,3.2,1775.0229218385373,1
1,108,12.8,1360.6571264026052,1
1,109,6.4,1584.50367785711,1
1,110,3.2,1817.0903891854603,0
1,111,25.6,1259.4898694993096,1
1,112,25.6,1116.427881631891,1
1,113,25.6,1204.8698376034235,1
1,114,6.4,1562.4512425994253,0
1,115,25.6,1159.378660352045,1
1,116,25.6,1141.8014744289958,1
1,117,12.8,1414.3526815992602,1
1,118,6.4,1672.5589024528472,1
1,119,3.2,1871.2897008002535,0
1,120,6.4,1573.5058705494184,1
1,121,3.2,1757.476526604194,0
1,122,3.2,1896.828665824482,0
1,123,12.8,1321.0568092596545,0
1,124,12.8,1402.0895995820258,1
1,125,25.6,1252.7688240734624,0
1,126,3.2,1756.2303209100278,1
1,127,25.6,1224.7589387840057,1
1,128,3.2,1836.4333209143276,0
1,129,6.4,1624.0958621990953,0
1,130,25.6,1147.2002763226822,1
1,131,25.6,1164.238929913433,1
1,132,6.4,1616.0506651172384,1
1,133,25.6,1216.634283923496,1
1,134,25.6,1239.0306654289077,1
1,135,12.8,1408.9967858837836,1
1,136,3.2,1862.3371248809267,0
1,137,6.4,1610.8439817380831,1
1,138,3.2,1858.3703043415362,0
1,139,6.4,1589.7154330589938,1
1,140,3.2,1773.2676640094628,1
1,141,12.8,1425.1739639165019,0
1,142,12.8,1437.9944090925724,1
1,143,25.6,1184.3857464214232,1
1,144,25.6,1236.0515488890624,1
1,145,3.2,1827.8923551683617,1
1,146,25.6,1264.9538042157953,1
1,147,6.4,1598.3861935948137,1
1,148,25.6,1229.2825479742348,1
1,149,25.6,1042.1904713177823,0
1,150,3.2,1843.3212756124244,1
1,151,25.6,1242.9762561311381,1
1,152,12.8,1396.2122353271643,1
1,153,25.6,1212.5809756957347,1
1,154,3.2,1841.1223077415846,0
1,155,3.2,1774.5748572692337,0
1,156,12.8,1383.2089528694783,1
1,157,12.8,1440.0553315197349,1
1,158,25.6,1297.3669452737142,1
1,159,6.4,1617.546608588885,0
1,160,12.8,1394.5829282125262,1
1,161,3.2,1792.6927860414673,1
1,162,12.8,1348.4706550242704,1
1,163,6.4,1655.893560062717,0
1,164,3.2,1823.0426398955672,1
1,165,3.2,1736.3768463288434,1
1,166,3.2,1819.7467799654437,1
1,167,3.2,1847.0848188175842,0
1,168,12.8,1301.0175717481804,1
1,169,12.8,1430.590679718395,1
1,170,12.8,1403.742710659891,1
1,171,25.6,1250.9876394172718,1
1,172,6.4,1596.0105205444295,1
1,173,25.6,1163.94532577775,0
1,174,25.6,1215.0029524147828,1
1,175,3.2,1685.0248877026113,0
1,176,6.4,1589.3379976429846,1
1,177,3.2,1720.1418126726694,0
1,178,25.6,1175.278066026203,1
1,179,6.4,1574.9547578141487,1
1,180,6.4,1581.6060479555304,1
1,181,12.8,1520.2153850405412,1
1,182,12.8,1287.0867932897904,1
1,183,12.8,1384.698211165849,0
1,184,25.6,1250.1881597467582,1
1,185,3.2,1795.5102353767156,0
1,186,12.8,1429.4638687814504,1
1,187,12.8,1414.3979116506362,0
1,188,12.8,1379.9392497163512,1
1,189,3.2,1729.9523356065529,1
1,190,6.4,1574.1833365063685,1
1,191,3.2,1807.5441156281536,1
1,192,12.8,1484.9264897397807,0
1,193,6.4,1617.911089209017,1
1,194,6.4,1587.4212286330433,0
1,195,3.2,1802.8780264347868,1
1,196,12.8,1445.4556866426308,0
1,197,12.8,1382.4257529341846,1
1,198,3.2,1749.0979997111517,1
1,199,25.6,1137.8073915922191,1
1,200,25.6,1293.8044545799225,1
2,1,3.2,1866.6961485853028,0
2,2,6.4,1605.8151072982212,1
2,3,3.2,1706.9690968495443,1
2,4,25.6,1188.6506502764566,1
2,5,12.8,1405.029874765342,1
2,6,25.6,1223.2474945929373,0
2,7,25.6,1119.8655286084386,1
2,8,12.8,1537.6081261297834,1
2,9,6.4,1569.3906219754672,1
2,10,6.4,1645.0644230425833,0
2,11,6.4,1721.0293453928703,1
2,12,12.8,1328.7632220307803,1
2,13,6.4,1540.457853750939,1
2,14,3.2,1785.1966747877566,1
2,15,25.6,1310.40187289231,1
2,16,6.4,1603.7005165515932,1
2,17,6.4,1691.926185508918,1
2,18,25.6,1230.7014320559758,1
2,19,12.8,1437.0829490841757,1
2,20,6.4,1589.5069914716346,0
2,21,6.4,1568.0954627060325,0
2,22,3.2,1753.973551177615,0
2,23,12.8,1369.4134541059252,1
2,24,6.4,1577.2083495632912,1
2,25,25.6,1225.7203827404835,1
2,26,6.4,1634.2712784476362,0
2,27,3.2,1746.0705051184625,1
2,28,25.6,1157.8173904852704,1
2,29,12.8,1508.7972233633723,1
2,30,6.4,1680.8985948999953,0
2,31,6.4,1595.4064680880638,1
2,32,12.8,1437.8586567673538,0
2,33,3.2,1867.5957870202733,1
2,34,6.4,1613.384186025496,1
2,35,25.6,1284.9427118933288,1
2,36,25.6,1186.2358324457844,1
2,37,12.8,1402.585831178114,0
2,38,6.4,1598.9809407001928,0
2,39,6.4,1624.3204010228144,1
2,40,12.8,1389.6656817289102,1
2,41,12.8,1419.202097685987,0
2,42,3.2,1833.6502657318742,1
2,43,3.2,1866.854401979558,0
2,44,3.2,1822.310864607065,0
2,45,25.6,1201.9312750550496,0
2,46,6.4,1654.1981645765748,0
2,47,12.8,1369.1034325549415,1
2,48,3.2,1801.7366850924427,0
2,49,6.4,1633.3662978495584,1
2,50,25.6,1191.1042184560645,1
2,51,6.4,1571.7115451805182,1
2,52,6.4,1493.239208738222,1
2,53,25.6,1160.038270376171,0
2,54,3.2,1811.4117483173368,0
2,55,25.6,1124.3192538660348,1
2,56,6.4,1563.250265872762,0
2,57,6.4,1573.7443283735124,0
2,58,25.6,1194.3859396415019,1
2,59,6.4,1621.257709031153,0
2,60,6.4,1610.4894836988626,1
2,61,3.2,1736.9314100310621,1
2,62,6.4,1674.812292434454,1
2,63,12.8,1380.259823598704,1
2,64,25.6,1123.1778328405178,1
2,65,6.4,1541.0062426214581,1
2,66,12.8,1490.366927616698,1
2,67,12.8,1410.324278782088,1
2,68,6.4,1667.1620771276132,0
2,69,12.8,1381.9516341841183,0
2,70,3.2,1759.8515246010381,0
2,71,12.8,1400.8432615600802,1
2,72,12.8,1452.6606714191757,1
2,73,25.6,1177.8427323205578,1
2,74,3.2,1807.3136052064492,0
